sentence1	sentence2	label
He watched San'doro silent in his thoughts .	San'doro was being watched by the man .	entailment
Then he ran .	He ran like an athlete .	neutral
There never will be .	It should happen soon .	contradiction
Ca'daan saw confidence flow back into the young man .	Ca'daan saw the man lose all confidence .	contradiction
Ca'daan heard the Kal grunt and felt the horse lift .	Ca'daan was concerned about the grunting Kal .	neutral
But to you , who know the truth , I propose to read certain passages which will throw some light on the extraordinary mentality of this great man . '' He opened the book , and turned the thin pages .	There is no information on the mentality of the man , extraordinary or not , contained within the thin-paged book .	contradiction
Finally the woman opened her eyes feebly .	She opened her eyes .	entailment
Where are you going ?	I want to know where you 're going .	entailment
And then I was off , the world exploding behind me .	The world was exploding in front of me .	contradiction
My usual partner . '	My usual partner told him to go away .	neutral
The family .	The family of gorillas .	neutral
No , do n't answer .	Please respond .	contradiction
Sitting up at night is always rather jumpy , she confessed .	She confessed , `` Sitting up at night is a rather jumpy experience . ''	entailment
I went on , 'I 'm going to warn you , whether you like it or not .	I 'll warn you despite your protests .	entailment
And it was exactly on such a day , as this carefully selected Wednesday ( which blushed from this distinction ) , that the mini-anti-aggressor was going to make the biggest of impressions .	Something strange will happen on Wednesday .	neutral
And two- the personal pronoun problems were going to get serious .	The grammar was great .	contradiction
He felt the off-hand dagger 's weight in the small of his back .	The knife was on his back .	entailment
And the door into Mr. Inglethorp 's room ?	The door into Mr. Inglethorp 's room has a strong lock .	neutral
He touched it and felt his skin swelling and growing hot .	His skin was burning .	neutral
'But if White has any designs at all on living , he 'll be as far from Little as he can possibly get by now . '	White is standing right next to them .	contradiction
But they reached a shrubbery near the house quite unmolested .	They managed to reach a shrubbery close by without issue .	entailment
They were so sure of themselves that they took it for granted he had made a mistake . ''	He made a mistake but concealed it so it was n't obvious .	neutral
Even us if you needed , '' said Jon .	He told them not to ask him to lift a finger .	contradiction
Lie back , and DO N'T THINK .	Recline , and clear your mind .	entailment
As he stepped across the threshold , Tommy brought the picture down with terrific force on his head .	Tommy lightly put the picture on his head .	contradiction
We will also need any able bodied men to help us spike the river .	We will need disabled men to help us spike the river .	contradiction
And , just incidentally , the Sons of the Egg who 'd attacked him in the hospital had tried to reach the camp twice already , once by interpenetrating into a shipment of mandrakes , which indicated to what measures they would resort .	The Sons of Egg were quite nice to him .	contradiction
Czarek was welcomed enthusiastically , even though the poultry brotherhood was paying a lot of sudden attention to the newcomers - a strong group of young and talented managers from an egzemo-exotic chicken farm in Fodder Band nearby Podunkowice .	Czarek was welcomed into the group by the farmers .	entailment
Then it occurred to me that the criminal standard was a low one .	I then realized that criminals have small ideals , and only care about themselves and others like them .	neutral
And now they here put him in a coma . '	No one is in a coma because they were never here .	contradiction
And she came to you ?	The person asked if the woman came to him .	entailment
He sat up , trying to free himself .	He was trying to take a nap .	contradiction
The sunlight , piercing through the branches , turned the auburn of her hair to quivering gold .	The auburn of her hair drew many suitors to her .	neutral
She admits to Dorcas , 'I do n't know what to do ; scandal between husband and wife is a dreadful thing . ' At 4 o'clock she has been angry , but completely mistress of herself .	She did not admit anything while speaking to Dorcas .	contradiction
I can FEEL him . ''	I can sense his presence .	entailment
The tents had been burned , but there was a new building where the main tent had been .	The tents were in the way of the building .	neutral
I entered her shack , opening the painted door covered in runes of warding .	I entered the shack through the hole in the ceiling . It was abandoned , and smelled musty and odd .	contradiction
Anyway , thank you very much for trying to help us .	We appreciate that you tried hard to help us , even if it did n't work .	neutral
Only trouble was , they had infinite ammunition ... we only had so many bullets .	They were using cheat codes so they had unlimited bullets .	neutral
No one was there , no bones at all .	The space was totally empty and had no remains in it .	entailment
I 'm sure I wo n't get stuck to it , ' Julia remarked about the suitcase she was carrying .	Julia was talking about the suitcase that she carried .	entailment
Almost directly overhead , there was a rent place where the strange absence of color or feature indicated a hole in the dome over them .	There was a rent place where the strange absence of color indicated a hole over them .	entailment
They keep romance and marriage apart `` Tommy flushed .	Tommy said they do n't mix romance and marriage and they have a good relationship .	neutral
17 `` Surely you are not thinking of refusing ?	Its an opportunity of a lifetime you ca n't be thinking of turning it down ?	neutral
Jon was about to require a lot from her .	A lot was going to be required from her .	entailment
Three more days went by in dreary inaction .	The days passed by slowly .	neutral
He watched San'doro silent in his thoughts .	The man made lots of noise .	contradiction
I never said you were a mandrake-man .	I never once said or implied you were a mandrake .	entailment
Tuppence rose .	Tuppence remained seated .	contradiction
Oh , yes , sir . Dorcas was looking very curiously at him and , to tell the truth , so was I .	We had no interest in him at all .	contradiction
Or else it was administered in the brandy you gave her .	It could have been administered in another way , instead of the brandy you gave her .	neutral
I felt an immeasurable 230 contempt for him… .	I felt great respect for him ...	contradiction
Oh , yes , sir . Dorcas was looking very curiously at him and , to tell the truth , so was I .	Dorcas and I were both intrigued by him .	entailment
Do n't mean the police , but the people that are right in it .	The police were overt brutal .	neutral
He took the wicked blade as well .	He took the fierce looking blade .	entailment
That 's why we tried to kill you .	That 's why we saved your life .	contradiction
At eight in the morning .	At seven in the morning .	contradiction
Oh ! I exclaimed , much relieved .	I felt quite relieved and shouted joyously .	entailment
Yes , it does , admitted Tuppence .	Tuppence admitted that no , it did n't .	contradiction
Your speeches are inflammatory .	Your speeches are so calming .	contradiction
He bent down to study the tiny little jeweled gears .	The were no jewels on the gears he examined .	contradiction
Lincoln glared .	The man glared .	entailment
Jon took Susan to the mother of the boy who had befriended her .	Jon took Susan to the village .	neutral
You will learn later that the person who usually poured out Mrs. Inglethorp 's medicine was always extremely careful not to shake the bottle , but to leave the sediment at the bottom of it undisturbed .	The person who poured Mrs. Inglethorp 's medicine never shook the bottle so as to leave the sediment untouched .	entailment
That drawer was an unlocked one , as he had pointed out , and he submitted that there was no evidence to prove that it was the prisoner who had concealed the poison there .	There was no evidence to suggest that the prisoner tried to hide the poison in the unlocked drawer .	entailment
The younger girl ran screaming to her .	The young girl stood frozen in her place .	contradiction
Sure enough , there was the chest , a fine old piece , all studded with brass nails , and full to overflowing with every imaginable type of garment .	There was nothing in the large chest .	contradiction
His plan was to drive straight up to the house .	He had planned to drive a block away from the house and slowly creep up .	contradiction
I have to tell you , I tried to understand it .	I did my best to understand it .	entailment
If all else failed , I could always make myself an exhibit .	There are major downsides to making myself an exhibit .	neutral
Do n't you know ?	Do n't you know the answer to that ?	neutral
What you say about Lawrence is a great surprise to me , I said .	I did n't expect to hear that about Lawrence .	entailment
I should put it this way .	I should explain the battle to you .	neutral
It 's just the beginning ! ''	A great journey is about to begin !	neutral
Do n't you remember ? Today we 're going to auntie Basia 's birthday party . '	We are going to Aunt Basia 's birthday party today , remember ?	entailment
There never will be .	I am sad but it will never happen .	neutral
It might not stop them completely but it would slow them the first night .	They will be delayed .	entailment
Do you know what this is ? '' With a dramatic gesture she flung back the left side of her coat and exposed a small enamelled badge .	She was not wearing a coat during the time .	contradiction
It was like looking into a mirror , except infinitely more realistic .	It was more realistic than looking in a mirror .	entailment
She was taken to the infirmary , and on recovering consciousness gave her name as Jane Finn .	The hospital believed that her name was Jane Finn .	neutral
Poirot answered them categorically , almost mechanically .	Poirot gave them the answers in perfect order , like a robot .	entailment
The draft treaty was Tommy 's bait .	The bait for Tommy was the draft treaty .	entailment
On the platform stood an altar and a large stone pillar .	The platform was made to make sacrifices on .	neutral
'Have you Mr. Whittington 's address in town ?	Do you have the address for Mr. Whittington ?	entailment
But I 'll take up my stand somewhere near , and when he comes out of the building I 'll drop a handkerchief or something , and off you go ! ''	I 'll watch and when he comes out I 'll give you a signal .	entailment
Adrin nodded .	Adrin agreed with what was said .	neutral
Ca'daan closed the door behind them and retied the not .	Ca'daan closed the door as they entered , and bound it shut with rope .	entailment
When we leave the house we shall be followed again , but not molested , FOR IT IS Mr. BROWN 'S PLAN THAT WE ARE TO LEAD HIM .	Mr. Brown has made a plan for us to lead him .	entailment
She leaned back in her chair .	She was sitting on a chair .	entailment
That 's why we tried to kill you .	That is the reason why we attempted to kill you .	entailment
For the first time I entertained the idea of taking my talents to that particular market… .	It turns out maybe I 'd be quite good at that particular market .	neutral
: Adrin 's Third Lesson	Adrin had three lessons .	neutral
Then I considered .	I refused to even consider it .	contradiction
Good-bye . '' Julius was bending over the car .	Julius would n't leave the house .	contradiction
I understand , mademoiselle , I understand all you feel .	I have no clue how you feel , madam .	contradiction
Dinosaurs poked around the remains ; twitchy little scavengers , fighting over scraps .	Dinosaurs were all extinct .	contradiction
Adrin nodded .	Adrin stood silent and unmoving .	contradiction
And now they here put him in a coma . '	They have put him in a coma now .	entailment
A funny place for a piece of brown paper , I mused .	I looked down at my desk , which was a mess , as usual , and had some white and brown papers on it .	neutral
'Publicity . ' Lincoln removed his great hat , making a small show of dusting it off .	Lincoln took his black top hat off .	neutral
Sure enough , there was the chest , a fine old piece , all studded with brass nails , and full to overflowing with every imaginable type of garment .	The chest was n't big enough to completely contain all of the garments .	entailment
He went down on his knees , examining it minutely , even going so far as to smell it .	He did n't even look at it .	contradiction
It 's come back ? cried Julius excitedly .	They thought it was gone forever .	neutral
She was 96 just turning away when she heard a piercing whistle , and the faithful Albert came running from the building to join her .	Albert was a dog that came running when he heard the whistle .	neutral
'Upload him into his body ? What body ? '	What body does he have ?	entailment
She had thrown away her cloak and tied her hair back into a topknot to keep it out of the way .	She shaved her head .	contradiction
HE KNOWS ABOUT THE MINES .	He told me about the gold mines .	neutral
It is , as you see , highly magnified .	It is highly enlarges as you can observe .	entailment
Now then , Miss Tuppence , said Sir James , `` you know this place better than I do .	Sir James strode off , exclaiming that he did n't need any help .	contradiction
No , John , I said , `` it is n't one of us .	It is one of us , I told John .	contradiction
A small page-boy was waiting outside her own door when she returned to it .	The page-boy was small , and had good intentions .	neutral
Shoot only the ones that face us , Jon had told Adrin .	Shoot the ones that face us , Adrin told Jon	contradiction
They make a pretty pair working together .	They had worked together already .	neutral
Daniel nodded , fetching me a glass of beer .	It was Daniel who got me the beer .	entailment
He seemed to have aged a thousand years .	He had aged due to stress .	neutral
I was to watch for an advertisement in the Times .	I looked for an ad in my mailbox .	contradiction
Poirot remained lost in thought for a few minutes .	Poirot did n't think .	contradiction
The Kal nodded .	The Kal then nodded its head up and down .	entailment
But you would not trust me . ''	You trust me implicitly .	contradiction
I awoke looking up at stone lit by fire .	The fire was burning nearby .	entailment
However , the other young lady was most kind .	I received a warm welcome from the other young lady who was present .	neutral
The doctor accepted quite readily the theory that Mrs. Vandemeyer had accidentally taken an overdose of chloral .	Mrs. Vandemeyer may have been trying to kill herself .	neutral
It 's mighty lucky you did say it .	I do n't know why you said it .	neutral
Look out for that overseer up there .	Be careful of the overseer .	entailment
Julius nodded gravely .	Julius loves to ask questions .	neutral
Yes , sir .	That would be affirmative sir .	entailment
The rain had stopped , but the green glow painted everything around them .	The red glow painted everything around them after the rain had stopped .	contradiction
Tuppence frowned .	Tuppence beamed with delight .	contradiction
Tommy had a healthy and vigorous appetite .	Tommy had n't eaten all day .	neutral
Arsenic would put poor Emily out of the way just as well as strychnine .	Arsenic would be just as effective as strychnine for getting rid of Emily .	entailment
Something in his mind seemed also to have developed a `` tan '' that let him face the bite of chance without flinching .	He had already lost most of his life savings at the roulette wheel , so what did one more spin count for .	neutral
Daniel nodded , fetching me a glass of beer .	Daniel got me a glass of Bud Light .	neutral
I feel that you probably underestimate the danger , and therefore warn you again that I can promise you no protection .	You underestimate the probability of us getting caught .	neutral
Well ? cried Tommy eagerly .	Tommy did n't speak .	contradiction
There is nothing more to be done here , I think , unless , he stared earnestly and long at the dead ashes in the grate .	There is sdo much left to do .	contradiction
… I succeeded in my false career .	I was very good at pretending to work .	neutral
As Jon looked at him , Barnam puffed out his chest .	Jon never looked at Barnam .	contradiction
Ca'daan 's mouth hung open .	Ca'daan 's mouth was cut wide open .	neutral
Tommy felt his ascendancy less sure than a moment before .	A moment ago his ascendancy was certain .	neutral
She admits to Dorcas , 'I do n't know what to do ; scandal between husband and wife is a dreadful thing . ' At 4 o'clock she has been angry , but completely mistress of herself .	Dorcas agreed with her comments about scandals between husbands and wives .	neutral
I noticed that there was a long branch running out from the tree in the right direction .	There was a rather lengthy branch that was pointing in the right direction .	entailment
It vibrated under his hand .	It moved softly in his hand , alerting him to the presence .	neutral
We make simulacra out of mandrakes -- like the manicurist in the barber shop .	The manicurist does great work .	neutral
But I 'll take up my stand somewhere near , and when he comes out of the building I 'll drop a handkerchief or something , and off you go ! ''	I wo n't go outside , I do n't care about him .	contradiction
You did not understand that he believed Mademoiselle Cynthia guilty of the crime ?	You were unaware that he thought Mademoiselle Cynthia was guilty ?	entailment
Finish it , someone yelled .	Someone yelled to finish it .	entailment
Hold hard , said Tommy .	Do n't hold at all ! was Tommy 's only message .	contradiction
I lay awake waiting until I judged it must be about two o'clock in the morning .	I actually lay awake until two-fifteen in the morning .	neutral
He seemed too self-assured .	He is too confident .	entailment
You claimed to be a repairman for such devices . '' Hanson bent to study it again , using a diamond lens one of the warlocks handed him .	Hanson took it and threw it aside , knowing it was useless .	contradiction
We will also need any able bodied men to help us spike the river .	We need men to help us spike the river to poison the enemy army .	neutral
Well , we will come in and interview the brave Dorcas . '' Dorcas was standing in the boudoir , her hands folded in front of her , and her grey hair rose in stiff waves under her white cap .	Dorcas is a coward and has no hair .	contradiction
said San'doro .	San'doro spoke .	entailment
The flame or whatever it was had enough heat , but it was hard to control .	The hot flame was hard to control because it was big .	neutral
Now then , Miss Tuppence , said Sir James , `` you know this place better than I do .	Miss Tuppence lived there , so she knew every nook and cranny .	neutral
Unless the mention of the Ritz was an accidental remark ? ''	Was mentioning the Ritz accidental ?	entailment
That 's it . The girl looked at him , then passed her hand across her forehead .	The girl looked at him with great interest .	neutral
But the third try worked better .	The third try worked better than the other two .	entailment
What a lot of bottles ! I exclaimed , as my eye travelled round the small room .	There was n't a single bottle .	contradiction
His arm came up over his eyes , cutting off the glare .	He raised his arm to protect his eyes from the glare .	entailment
Ca'daan 's mouth hung open .	Ca'daan kept his mouth shut .	contradiction
He slowed .	He slowed down to let the horse by .	neutral
Never know where they wo n't turn up next .	It 's hard to predict where they will turn up .	entailment
Candle grease ?	It was not candle grease .	contradiction
Anyway , she was found dead this morning . ''	She was dead this morning .	entailment
I have kept you and clothed you and fed you !	I have clothed and fed you .	entailment
No , I exclaimed , astonished .	No ! I cried out in shock .	entailment
He leaned over Tommy , his face purple with excitement .	He leaned over Tommy , with thrill in his face .	entailment
When he 's ready for a major strike , how many innocents do you suppose are going to suffer ? To quote one of your contemporaries ; 'The needs of the many outweigh the needs of the few . ' '	He wo n't care how many innocent people will suffer .	neutral
I guess history repeats itself , Jane .	It is possible history repeats itself .	entailment
You did not understand that he believed Mademoiselle Cynthia guilty of the crime ?	He believed Mademoiselle Cynthia guiltyand you were unaware ?	entailment
Even after having just seen Adrin 's skill with his rapier , Ca'daan had not seen a man move so sure and so naturally with such devastating results .	Ca'daan smirked at Adrin 's pathetic rapier moves .	contradiction
In the meantime we must send for a doctor , but before we do so , is there anything in this room that might be of value to us ? '' Hastily , the three searched .	Their search for valuables was a waste of time .	neutral
I am glad she was n't , said Jon .	Jon was sad that she was n't happy .	neutral
I never said you were a mandrake-man .	I did n't say you were a mandrake-man .	entailment
He had n't seen even pictures of such things since the few silent movies run in some of the little art theaters .	He used to watch silent movies every Saturday .	neutral
So have I for that matter , but I flatter myself that my choice of dishes was more judicious than yours .	My choice of dishes was more judicious than yours .	entailment
Of course I had a watch kept on Mr. Inglethorp , hoping that sooner or later he would lead me to the hiding-place .	I thought he would show where he hid .	entailment
Oh , I I have n't quite worked that out .	I have figured it all out .	contradiction
I turned a curve and I was just in time to see him ring the bell and get admitted to the house .	Just as I turned the curve I spotted him walking in to the house after ringing the bell for entrance .	entailment
Finally the woman opened her eyes feebly .	She opened her eyes after several minutes .	neutral
Or Sherlock Holmes ? ''	I think it was Sherlock Holmes ?	entailment
He caught a grip on himself , fighting the fantasies of his mind , and took another breath of air .	The air tasted like molten metal - the taste of blood .	neutral
It vibrated under his hand .	It sat in his hand still , devoid of movement or sound .	contradiction
Come on , let 's have tea .	I wanted a cup of early gray .	neutral
him ? '' she asked .	Her ? '' he asked with a shocked tone .	contradiction
His family had lost a son and a daughter now .	They died at a young age .	neutral
San'doro did n't make it sound hypothetical , thought Jon .	San'doro did n't sound like he was still thinking about that , thought Jon .	neutral
His vigorous strides soon enabled him to gain upon them , and by the time he , in his turn , reached the corner the distance between them was sensibly lessened .	He walked quickly after them , having gained considerably upon rounding the corner .	entailment
Was it a sudden decision on his part , or had he already made up his mind when he parted from me a few hours earlier ?	Was it something done in the spur of the moment , or was this already a plan for a long time ?	entailment
Are you sure we should take him down there ? ' Greuze asked Natalia .	Natalia , knowing that it could be very dangerous to venture forth with him , asked Greuze if it was really wise to take him down there , thinking that it may not be completely safe to continue on at the moment .	neutral
Nothing prior to May 7 , 1915 .	Nothing before January 1915 .	contradiction
We should n't have been here as soon as this even , if it had n't been for the fact that there was a smart doctor on the spot , who gave us the tip through the Coroner .	The doctor and the Coroner decided not to give us the tip .	contradiction
Something broke inside her , something in her head .	Something broke inside her , both in her heart and her head	neutral
A man like me can not fail… .	A man like me can only succeed .	entailment
'Do n't worry , ' he whispered .	He said not to worry .	entailment
I was deeply impressed by the power and eloquence of the counsel for the defence .	The counsel for his defence did not impress me in any way .	contradiction
He walked out into the street and I followed .	I followed him as he walked .	entailment
How did this man know ?	The man knew something .	entailment
But there 's John ” and Miss Howard , surely they were speaking the truth ? ''	I 'm sure Miss Howard is lying to us .	contradiction
Not yourself .	Only you	contradiction
The day my deadline came , I got a business card .	The deadline to accept my promotion arrived and I got a business card with my new title .	neutral
Your man would n't have remained conscious after the first blow .	Your man stayed conscious even after the first blow .	contradiction
He saw Stark buried under the earth , screaming for a mercy or death that would never come and crawling out of the rock decades later .	Stark ran away before he could be captured .	contradiction
Good sir , Jon began .	Jon stayed silent .	contradiction
It was still night .	The sun had n't risen yet , for the moon was shining daringly in the sky .	entailment
I put it to you that , wearing a suit of Mr. Inglethorp 's clothes , with a black beard trimmed to resemble his , you were there ” and signed the register in his name !	He was wearing gym clothes and made sure to shave his beard in order to look like Mr. Inglethorp .	contradiction
He could make quite an issue out of the need to determine the characteristic impedance of their sky .	He could have made an issue about the need to determine the impedance of the sky .	entailment
A small page-boy was waiting outside her own door when she returned to it .	The page-boy she 'd been expecting was gone , having waited too long for her to return .	contradiction
The red moon made her skin glow .	Her skin was painfully glowing from the red moon .	neutral
And you are wrong in condemning it .	You should n't be speaking out against it .	entailment
There was food for all , and houses had been conjured hastily to shelter the people .	There was not enough food for all sadly .	contradiction
Once or twice , but they seem more show than battle , said Adrin .	Adrin said they were n't serious about battling .	entailment
Her voice was doubtful .	She was doubtful because the plan did not seem very good .	neutral
Poirot answered them categorically , almost mechanically .	Poirot responded to them categorically , like a machine .	entailment
Ask Cook if she 's missed any . '' It occurred to me very forcibly at that moment that to harbour Miss Howard and Alfred Inglethorp under the same roof , and keep the peace between them , was likely to prove a Herculean task , and I did not envy John .	To keep the peace between Miss Howard and Alfred Inglethorp would prove only too easy , given how they craved each others ' company .	contradiction
I just stopped where I was .	I stopped running right where I was	neutral
Lie back , and DO N'T THINK .	Stand up and start thinking .	contradiction
The Kal tangled both of Adrin 's arms , keeping the blades far away .	Adrin 's arms were tangled , keeping his blades away from Kal .	entailment
One or two , replied Tommy modestly , and plunged into his recital .	Tommy replied and then worked on his recital .	entailment
And if they did come , as remote as that is , you and your men look strong enough to handle anything .	The men looked weak .	contradiction
On the platform stood an altar and a large stone pillar .	There was only a pillar on the platform .	contradiction
These men had never seen rain before , Jon realized .	The men had lived in the desert .	neutral
But it 's for us to get busy and do something . ''	It 's for us to be active and out there .	entailment
Tuppence frowned .	Tuppence made a face , then smiled .	contradiction
The Kal tangled both of Adrin 's arms , keeping the blades far away .	Adrin 's arms were tangled , keeping his rusty blades away from Kal .	neutral
And there was me .	I was n't present .	contradiction
The second half of the book dealt with the use of the true name .	The book mentioned nothing about true names at all .	contradiction
